,post_id,likes_count,reposts_count,comments_count,time
382,417509.0,688.0,8.0,17.0,1479452530.0
383,417505.0,64.0,1.0,37.0,1479452417.0
384,417427.0,673.0,10.0,61.0,1479449832.0
385,417391.0,614.0,7.0,45.0,1479448569.0
386,417387.0,647.0,22.0,31.0,1479448480.0
387,417323.0,685.0,16.0,27.0,1479443360.0
388,417318.0,926.0,24.0,29.0,1479443243.0
389,417303.0,448.0,11.0,25.0,1479442859.0
390,417287.0,583.0,4.0,39.0,1479442073.0
391,417283.0,62.0,1.0,14.0,1479441703.0
392,417215.0,314.0,7.0,31.0,1479420680.0
393,417014.0,137.0,1.0,223.0,1479408551.0
394,416990.0,61.0,1.0,27.0,1479405500.0
395,416854.0,326.0,7.0,64.0,1479378232.0
396,416761.0,839.0,20.0,73.0,1479373729.0
397,416658.0,1075.0,16.0,68.0,1479357650.0
398,416656.0,833.0,14.0,23.0,1479357606.0
399,416649.0,684.0,14.0,22.0,1479357405.0
400,416557.0,1056.0,50.0,64.0,1479326626.0
401,416406.0,155.0,3.0,25.0,1479310892.0
402,416274.0,1207.0,34.0,81.0,1479299164.0
403,416184.0,694.0,8.0,46.0,1479283645.0
404,416084.0,482.0,4.0,23.0,1479274820.0
405,416082.0,871.0,20.0,25.0,1479274770.0
406,416081.0,984.0,13.0,25.0,1479274755.0
407,415903.0,426.0,8.0,51.0,1479235488.0
408,415866.0,223.0,8.0,35.0,1479233537.0
409,415827.0,739.0,8.0,50.0,1479232320.0
410,415733.0,826.0,22.0,42.0,1479228158.0
411,415727.0,853.0,17.0,34.0,1479228085.0
412,415726.0,361.0,7.0,35.0,1479228054.0
413,415585.0,495.0,7.0,51.0,1479211631.0
414,415548.0,696.0,11.0,36.0,1479210794.0
415,415510.0,143.0,1.0,61.0,1479210502.0
416,415506.0,637.0,6.0,44.0,1479210365.0
417,415445.0,214.0,3.0,40.0,1479205329.0
418,415380.0,557.0,7.0,32.0,1479199643.0
419,415351.0,1625.0,59.0,52.0,1479198741.0
420,415314.0,656.0,24.0,28.0,1479195573.0
421,415218.0,43.0,1.0,55.0,1479183301.0
422,415055.0,606.0,10.0,43.0,1479151452.0
423,415002.0,680.0,14.0,31.0,1479150443.0
424,415001.0,507.0,7.0,24.0,1479150435.0
425,414984.0,477.0,15.0,30.0,1479150144.0
426,414932.0,530.0,8.0,17.0,1479148817.0
427,414919.0,503.0,6.0,19.0,1479148689.0
428,414888.0,553.0,11.0,23.0,1479148334.0
429,414886.0,932.0,13.0,20.0,1479148311.0
430,414871.0,331.0,5.0,35.0,1479148096.0
431,414789.0,810.0,17.0,52.0,1479138692.0
432,414729.0,384.0,14.0,22.0,1479129319.0
433,414609.0,43.0,1.0,59.0,1479105560.0
434,414596.0,382.0,13.0,27.0,1479104481.0
435,414563.0,862.0,19.0,38.0,1479101128.0
436,414500.0,580.0,8.0,35.0,1479094795.0
437,414498.0,545.0,6.0,37.0,1479094758.0
438,414496.0,633.0,14.0,10.0,1479094623.0
439,414358.0,236.0,2.0,48.0,1479066317.0
440,414245.0,1182.0,44.0,57.0,1479064077.0
441,414239.0,741.0,21.0,47.0,1479064036.0
442,414234.0,1015.0,21.0,22.0,1479063994.0
443,414233.0,224.0,11.0,36.0,1479063981.0
444,414220.0,903.0,31.0,32.0,1479063711.0
445,414186.0,767.0,21.0,26.0,1479060651.0
446,414160.0,584.0,29.0,23.0,1479055045.0
447,414027.0,1184.0,28.0,63.0,1479027552.0
448,413976.0,376.0,9.0,32.0,1479022045.0
449,413945.0,735.0,26.0,25.0,1479016262.0
450,413850.0,305.0,3.0,70.0,1478988618.0
451,413775.0,701.0,10.0,59.0,1478982456.0
452,413766.0,785.0,28.0,43.0,1478982373.0
453,413613.0,861.0,29.0,68.0,1478960104.0
454,413606.0,637.0,12.0,35.0,1478960033.0
455,413604.0,487.0,8.0,42.0,1478960003.0
456,413599.0,385.0,5.0,20.0,1478959775.0
457,413499.0,63.0,4.0,37.0,1478930730.0
458,413482.0,679.0,11.0,22.0,1478923001.0
459,413433.0,546.0,8.0,43.0,1478906514.0
460,413362.0,363.0,14.0,36.0,1478889462.0
461,413245.0,173.0,3.0,60.0,1478872222.0
462,413167.0,641.0,17.0,30.0,1478865643.0
463,413102.0,142.0,0.0,119.0,1478864817.0
464,413053.0,713.0,8.0,62.0,1478861072.0
465,413006.0,670.0,17.0,30.0,1478858157.0
466,412970.0,729.0,25.0,37.0,1478855716.0
467,412863.0,596.0,12.0,36.0,1478839036.0
468,412833.0,87.0,0.0,108.0,1478837992.0
469,412826.0,622.0,13.0,16.0,1478837301.0
470,412629.0,767.0,22.0,51.0,1478780184.0
471,412582.0,995.0,10.0,69.0,1478775673.0
